epoch,lr-AdamW,step,train_loss,valid_loss
62,,12599,,5.2787299156188965
,0.001,12600,,
63,,12699,4.6842217445373535,
63,,12799,5.062979221343994,
63,,12799,,5.299067974090576
,0.001,12800,,
64,,12899,5.465872287750244,
64,,12999,4.760958194732666,
64,,12999,,5.3136162757873535
,0.001,13000,,
65,,13099,4.569467067718506,
65,,13199,5.217782020568848,
65,,13199,,5.523974418640137
,0.001,13200,,
66,,13299,4.660467624664307,
66,,13399,5.300112247467041,
66,,13399,,5.313871383666992
,0.001,13400,,
67,,13499,4.546682834625244,
67,,13599,5.044815540313721,
67,,13599,,5.20041036605835
,0.001,13600,,
68,,13699,4.889418601989746,
68,,13799,4.839390277862549,
68,,13799,,5.038910388946533
,0.001,13800,,
69,,13899,4.875672817230225,
69,,13999,4.943767070770264,
69,,13999,,5.176272869110107
,0.001,14000,,
70,,14099,4.79931116104126,
70,,14199,5.044747352600098,
70,,14199,,5.259829521179199
,0.001,14200,,
71,,14299,4.885870456695557,
71,,14399,4.66089391708374,
71,,14399,,5.092020511627197
,0.001,14400,,
72,,14499,5.755249500274658,
72,,14599,4.5521650314331055,
72,,14599,,5.001987457275391
,0.001,14600,,
73,,14699,4.793201923370361,
73,,14799,4.8215107917785645,
73,,14799,,5.2067108154296875
,0.001,14800,,
74,,14899,4.952587127685547,
74,,14999,4.524634838104248,
74,,14999,,5.107943058013916
,0.001,15000,,
75,,15099,5.032296180725098,
75,,15199,4.848071575164795,
75,,15199,,5.344236373901367
,0.001,15200,,
76,,15299,4.937658309936523,
76,,15399,4.806438446044922,
76,,15399,,4.958353042602539
,0.001,15400,,
77,,15499,4.513067245483398,
77,,15599,4.864664077758789,
77,,15599,,5.228659629821777
,0.001,15600,,
78,,15699,5.179976940155029,
78,,15799,4.735850811004639,
78,,15799,,5.076808452606201
,0.001,15800,,
79,,15899,4.782065391540527,
79,,15999,4.2915940284729,
79,,15999,,5.155485153198242
,0.001,16000,,
80,,16099,4.768336296081543,
80,,16199,4.396411895751953,
80,,16199,,5.178791522979736
,0.001,16200,,
81,,16299,4.564482688903809,
81,,16399,5.177234649658203,
81,,16399,,5.671309947967529
,0.001,16400,,
82,,16499,4.669422149658203,
82,,16599,4.849925518035889,
82,,16599,,4.934854507446289
,0.001,16600,,
83,,16699,4.9945197105407715,
83,,16799,5.044900417327881,
83,,16799,,5.188409805297852
,0.001,16800,,
84,,16899,4.7553558349609375,
84,,16999,4.441341876983643,
84,,16999,,4.813151836395264
,0.001,17000,,
85,,17099,4.471659183502197,
85,,17199,4.7429094314575195,
85,,17199,,4.878805160522461
,0.001,17200,,
86,,17299,4.8444600105285645,
86,,17399,4.678097724914551,
86,,17399,,5.010101318359375
,0.001,17400,,
87,,17499,4.527338981628418,
87,,17599,4.869373321533203,
87,,17599,,4.941436290740967
,0.001,17600,,
88,,17699,5.003921985626221,
88,,17799,4.864987850189209,
88,,17799,,5.114608287811279
,0.001,17800,,
89,,17899,4.881969928741455,
89,,17999,4.442732810974121,
89,,17999,,5.156485080718994
,0.001,18000,,
90,,18099,4.7381062507629395,
90,,18199,4.579311847686768,
90,,18199,,4.986335277557373
,0.001,18200,,
91,,18299,4.571571350097656,
91,,18399,4.740681171417236,
91,,18399,,5.1269636154174805
,0.001,18400,,
92,,18499,5.051549434661865,
92,,18599,4.420683860778809,
92,,18599,,4.913834571838379
,0.001,18600,,
93,,18699,4.739900588989258,
93,,18799,4.400821208953857,
93,,18799,,4.841482639312744
,0.001,18800,,
94,,18899,4.859164237976074,
94,,18999,5.128956317901611,
94,,18999,,5.167027950286865
,0.001,19000,,
95,,19099,4.6679463386535645,
95,,19199,5.03822660446167,
95,,19199,,5.3373026847839355
,0.0001,19200,,
96,,19299,3.9086949825286865,
96,,19399,4.264954566955566,
96,,19399,,4.503765106201172
,0.0001,19400,,
97,,19499,3.8618881702423096,
97,,19599,4.0490617752075195,
97,,19599,,4.3960442543029785
,0.0001,19600,,
98,,19699,3.9178171157836914,
98,,19799,3.986210823059082,
98,,19799,,4.402556896209717
,0.0001,19800,,
99,,19899,3.7479233741760254,
99,,19999,3.821830987930298,
99,,19999,,4.371708869934082
,0.0001,20000,,
100,,20099,3.808039665222168,
100,,20199,3.9316017627716064,
100,,20199,,4.388180732727051
,0.0001,20200,,
101,,20299,3.998255491256714,
101,,20399,3.873901128768921,
101,,20399,,4.386819839477539
,0.0001,20400,,
102,,20499,4.181187152862549,
102,,20599,4.078218460083008,
102,,20599,,4.37914514541626
,0.0001,20600,,
103,,20699,3.8609747886657715,
103,,20799,3.8741402626037598,
103,,20799,,4.366604328155518
,0.0001,20800,,
104,,20899,4.137434959411621,
104,,20999,4.203723907470703,
104,,20999,,4.409040451049805
,0.0001,21000,,
105,,21099,3.9814164638519287,
105,,21199,3.741318464279175,
105,,21199,,4.333852291107178
,0.0001,21200,,
106,,21299,4.042382717132568,
106,,21399,3.9361743927001953,
106,,21399,,4.357426166534424
,0.0001,21400,,
107,,21499,4.025451183319092,
107,,21599,4.007463455200195,
107,,21599,,4.347794055938721
,0.0001,21600,,
108,,21699,4.029524803161621,
108,,21799,4.065343379974365,
108,,21799,,4.314010143280029
,0.0001,21800,,
109,,21899,3.8405609130859375,
109,,21999,4.022395133972168,
109,,21999,,4.339849472045898
,0.0001,22000,,
110,,22099,3.8737974166870117,
110,,22199,3.767838954925537,
110,,22199,,4.3259477615356445
,0.0001,22200,,
111,,22299,3.8304479122161865,
111,,22399,3.9781506061553955,
111,,22399,,4.2961015701293945
,0.0001,22400,,
112,,22499,3.4827651977539062,
112,,22599,3.777147054672241,
112,,22599,,4.304673671722412
,0.0001,22600,,
113,,22699,3.846977472305298,
113,,22799,3.8828275203704834,
113,,22799,,4.304783821105957
,0.0001,22800,,
114,,22899,3.627556562423706,
114,,22999,4.047435283660889,
114,,22999,,4.297900199890137
,0.0001,23000,,
115,,23099,3.820274591445923,
115,,23199,3.935368776321411,
115,,23199,,4.3426361083984375
,0.0001,23200,,
116,,23299,3.7854719161987305,
116,,23399,3.730684757232666,
116,,23399,,4.303762435913086
,0.0001,23400,,
117,,23499,3.8715054988861084,
117,,23599,4.021744728088379,
117,,23599,,4.322373390197754
,0.0001,23600,,
118,,23699,3.8754141330718994,
118,,23799,3.952087163925171,
118,,23799,,4.2900919914245605
,0.0001,23800,,
119,,23899,3.595806360244751,
119,,23999,3.9317209720611572,
119,,23999,,4.265013217926025
,0.0001,24000,,
120,,24099,3.807979106903076,
120,,24199,4.085203170776367,
120,,24199,,4.2909650802612305
,0.0001,24200,,
121,,24299,3.6698622703552246,
121,,24399,3.8454840183258057,
121,,24399,,4.307885646820068
,0.0001,24400,,
122,,24499,3.8124899864196777,
122,,24599,3.922877073287964,
122,,24599,,4.26608419418335
,0.0001,24600,,
123,,24699,3.8243722915649414,
